,Statute,OffenseDescription,OffenseDescription2,OffenseType
36292,8-4-030 TN365199,Other offense,Other public order offense,Public order offense
36293,8-4-030-,Consuming alcohol in public,Other public order offense,Public order offense
36294,8-4-030-A,Consuming alcohol in public,Other public order offense,Public order offense
36295,8-4-030-A-2,Consuming alcohol in public,Other public order offense,Public order offense
36296,8-4-030-B,Consuming alcohol in public,Other public order offense,Public order offense
36297,8-4-030(A),Consuming alcohol in public,Other public order offense,Public order offense
36298,8-4-030(A)(2),Consuming alcohol in public,Other public order offense,Public order offense
36299,8-4-030(B(,Consuming alcohol in public,Other public order offense,Public order offense
36300,8-4-030(B),Consuming alcohol in public,Other public order offense,Public order offense
36301,8-4-030(K),Consuming alcohol in public,Other public order offense,Public order offense
36302,8-4-030A,Consuming alcohol in public,Other public order offense,Public order offense
36303,8-4-050,Criminal trespass to restricted areas,Criminal trespass to a residence/property,Propert offense
36304,8-4-050-B,Criminal trespass to restricted areas,Criminal trespass to a residence/property,Propert offense
36305,8-4-050-D,Criminal trespass to restricted areas,Criminal trespass to a residence/property,Propert offense
36306,8-4-050(B),Criminal trespass to restricted areas,Criminal trespass to a residence/property,Propert offense
36307,8-4-055,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36308,8-4-059,Other offense,Other public order offense,Public order offense
36309,8-4-060,Criminal damage to property,Criminal damage to property/institutional vandalism,Propert offense
36310,8-4-065,Other offense,Other public order offense,Public order offense
36311,8-4-080,Assault,Assault/aggravated assault,Person offense
36312,8-4-081,Other offense,Other public order offense,Public order offense
36313,8-4-081-A,Other offense,Other public order offense,Public order offense
36314,8-4-081(A),Public indecency,Other sex offense,Person offense
36315,8-4-087,Other offense,Other public order offense,Public order offense
36316,8-4-090,Other offense,Other public order offense,Public order offense
36317,8-4-10-E,Disorderly conduct,Disorderly conduct,Public order offense
36318,8-4-105/4,Other offense,Other public order offense,Public order offense
36319,8-4-110,Other offense,Other public order offense,Public order offense
36320,8-4-120,Other offense,Other public order offense,Public order offense
36321,8-4-120               TN031776,Other offense,Other public order offense,Public order offense
36322,8-4-120             TK230090,Other offense,Other public order offense,Public order offense
36323,8-4-126,Unlawful use of recorded sounds or images,Other property offense,Propert offense
36324,8-4-130,Other offense,Other public order offense,Public order offense
36325,8-4-145,Other offense,Other public order offense,Public order offense
36326,8-4-148,Unauthorized possess or storage of weapons,Unlawful possession/purchase of firearms and firearms ammunition,Weapon offense
36327,8-4-150/3-A,"Failure to register as arsonist, sex offender, child murder","Failure to register as arsonist, sex offender, child murder",Public order offense
36328,8-4-150/6,Public indecency,Other sex offense,Person offense
36329,8-4-154/10-A,"Failure to register as arsonist, sex offender, child murder","Failure to register as arsonist, sex offender, child murder",Public order offense
36330,8-4-180,Other offense,Other public order offense,Public order offense
36331,8-4-2/12-1-A,Assault,Assault/aggravated assault,Person offense
36332,8-4-225/13,Warrant,Warrant,FTA/Warrant
36333,8-4-240,Other offense,Other public order offense,Public order offense
36334,8-4-250,Criminal trespass to real property,Criminal trespass to a residence/property,Propert offense
36335,8-4-260,Criminal trespass to restricted areas,Criminal trespass to a residence/property,Propert offense
36336,8-4-30,Consuming alcohol in public,Other public order offense,Public order offense
36337,8-4-5/11-502-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36338,8-4-5/11-503-A-1,Reckless driving,Other vehicle-related offense,DUI/vehicle offense
36339,8-4-5/110-3,Warrant,Warrant,FTA/Warrant
36340,8-4-5/12-1-A,Assault,Assault/aggravated assault,Person offense
36341,8-4-5/12-2-B-4,Aggravated assault,Assault/aggravated assault,Person offense
36342,8-4-5/12-3-A-2,Battery,Battery/aggravated battery/henious battery,Person offense
36343,8-4-5/12-5-A,Reckless conduct,Other battery/assault/neglect,Person offense
36344,8-4-5/12-603.1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36345,8-4-5/12C-5-A-1,Endangering the life of a child,Offenses harming children,Person offense
36346,8-4-5/16-2,Theft,Theft,Propert offense
36347,8-4-5/16-3-A,Theft,Theft,Propert offense
36348,8-4-5/21-1-A-1,Criminal damage to property,Criminal damage to property/institutional vandalism,Propert offense
36349,8-4-5/21-1.3-A,Criminal damage to property,Criminal damage to property/institutional vandalism,Propert offense
36350,8-4-5/24-1-A-2,Unlawful use of a weapon (firearm),Unlawful use of a weapon (firearm),Weapon offense
36351,8-4-5/24-1.1-A,Unlawful use of a weapon by a felon,Unlawful use of a weapon by a felon,Weapon offense
36352,8-4-5/24-1.6-A-1,Aggravated unlawful use of a weapon,Aggravated unlawful use of a weapon,Weapon offense
36353,8-4-5/25-5-A-4,Probation or parole violation,Other public order offense,Public order offense
36354,8-4-5/26-1-A-1,Disorderly conduct,Disorderly conduct,Public order offense
36355,8-4-5/26.5-3-A-5,Harassment,Perjury/communicating or harrassing witnesses/contempt,Public order offense
36356,8-4-5/3-701-1,Other offense,Other public order offense,Public order offense
36357,8-4-5/3-707-A-5,Driving without insurance,Other vehicle-related offense,DUI/vehicle offense
36358,8-4-5/31-1-A,Resisting or obstructing a peace officer,Obstructing justice/resisting or obstructing peace officer,Public order offense
36359,8-4-5/31-3,Other offense,Other public order offense,Public order offense
36360,8-4-5/31-4.5-A,Obstructing identification,Obstructing justice/resisting or obstructing peace officer,Public order offense
36361,8-4-5/32-10-A,Violation of bail bond,Other public order offense,Public order offense
36362,8-4-5/6-101,Other offense,Other public order offense,Public order offense
36363,8-4-5/6-16-A,Consumption of alcohol by a minor,Other public order offense,Public order offense
36364,8-4-5/6-16-A-III,Other offense,Other public order offense,Public order offense
36365,8-4-550/4-A,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36366,8-4-550/4-B,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36367,8-4-550/4-C,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36368,8-4-550/5-B,Manufacture/delivery of cannabis,Manufacture/delivery of cannabis/controlled substance,Drug offense
36369,8-4-550/5-C,Manufacture/delivery of cannabis,Manufacture/delivery of cannabis/controlled substance,Drug offense
36370,8-4-570/402-C,Possession of a controlled substance,Possession of cannabis/controlled substance,Drug offense
36371,8-4-600/3.5-A,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36372,8-4/120,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36373,8-4/720-570/402(C),Attempt possession of a controlled substance,Possession of cannabis/controlled substance,Drug offense
36374,8-4/720/570 402(C),Attempt possession of a controlled substance,Possession of cannabis/controlled substance,Drug offense
36375,8-40-030,Consuming alcohol in public,Other public order offense,Public order offense
36376,8-40-220,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36377,8-40-250(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36378,8-44-040(A)(3),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36379,8-50-100-B,Unlawful sale or delivery of firearms,Gunrunning/unlawful sale or delivery of firearms,Weapon offense
36380,8-501/L1452067,Disorderly conduct,Disorderly conduct,Public order offense
36381,8-508,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36382,8-508/L1304618,Criminal damage to government property,Criminal damage to property/institutional vandalism,Propert offense
36383,8-508/L1304773,Criminal damage to government property,Criminal damage to property/institutional vandalism,Propert offense
36384,8-54-020/L1337061,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36385,8-6-020-A,"Failure to register as arsonist, sex offender, child murder","Failure to register as arsonist, sex offender, child murder",Public order offense
36386,8-6-11,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36387,8-6-4,Other offense,Other public order offense,Public order offense
36388,8-6-4-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36389,8-6-4-C,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36390,8-64-110-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36391,8-702/L1452066,Criminal damage to property,Criminal damage to property/institutional vandalism,Propert offense
36392,8-8-030,Prostitution,Prostitution-related offenses,Person offense
36393,8-8-050,Other offense,Other public order offense,Public order offense
36394,8-8-060,Other offense,Other public order offense,Public order offense
36395,8-8-060 C,Prostitution,Prostitution-related offenses,Person offense
36396,8-8-060-B,Prostitution,Prostitution-related offenses,Person offense
36397,8-8-060-C,Prostitution,Prostitution-related offenses,Person offense
36398,8-8-060(B),Prostitution,Prostitution-related offenses,Person offense
36399,8-8-060(C),Prostitution,Prostitution-related offenses,Person offense
36400,8-8-070,Public indecency,Other sex offense,Person offense
36401,8-8-080,Public indecency,Other sex offense,Person offense
36402,8-8-080-1,Public indecency,Other sex offense,Person offense
36403,8-8-081,Public indecency,Other sex offense,Person offense
36404,8-8-110,Other offense,Other public order offense,Public order offense
36405,8-8-120,Other offense,Other public order offense,Public order offense
36406,8-8-170,Other offense,Other public order offense,Public order offense
36407,8-8-180,Possession of burglary tools,Other property offense,Propert offense
36408,8-8-225/13,Warrant,Warrant,FTA/Warrant
36409,8-8-5/11-30-A-2,Public indecency,Other sex offense,Person offense
36410,8-8-5/110-3,Warrant,Warrant,FTA/Warrant
36411,8-8-5/12-2-B-4,Aggravated assault,Assault/aggravated assault,Person offense
36412,8-8-5/12-3-A-2,Battery,Battery/aggravated battery/henious battery,Person offense
36413,8-8-5/21-3-A-1,Criminal trespass to real property,Criminal trespass to a residence/property,Propert offense
36414,8-8-5/21-3-A-2,Criminal trespass to real property,Criminal trespass to a residence/property,Propert offense
36415,8-8-5/31-1-A,Resisting or obstructing a peace officer,Obstructing justice/resisting or obstructing peace officer,Public order offense
36416,8-8-5/32-10-A,Violation of bail bond,Other public order offense,Public order offense
36417,8-8-5/6-303-A,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
36418,8-8-570/402-C,Possession of a controlled substance,Possession of cannabis/controlled substance,Drug offense
36419,8-8-70,Public indecency,Other sex offense,Person offense
36420,8-802,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36421,8-802/ L1304504,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36422,8-802/L1264808,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36423,8-802/L1264812,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36424,8-802/L1304246,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36425,8-802/L1304613,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36426,8-802/L1304615,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36427,8-802/L1304619,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36428,8-802/L1304774,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36429,8-802/L1304835,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36430,8-802/L1304837,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36431,8-802/L1364795,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36432,8-802/L1364874,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36433,8-802/L1364963,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36434,8-802/L1415895,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36435,8-802/L1416033,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36436,8-802/L1416063,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36437,8-802/L1416101,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36438,8-802/L1416187,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36439,8-802/L1416189,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36440,8-802/L1416202,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36441,8-802/L1416228,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36442,8-802/L1416384,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36443,8-802/L1416389,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36444,8-802/L1416401,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36445,8-802/L1416428,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36446,8-802/L1416444,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36447,8-802/L1416445,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36448,8-802/L1416482,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36449,8-802/L1416681,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36450,8-802/L1416684,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36451,8-802/L1416723,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36452,8-9-7,Other offense,Other public order offense,Public order offense
36453,8-902,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36454,8-902 /L1304507,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36455,8-902/L1264809,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36456,8-902/L1304246,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36457,8-902/L1304614,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36458,8-902/L1304619,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36459,8-902/L1304620,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36460,8-902/L1304835,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36461,8-902/L1304836,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36462,8-902/L1304837,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36463,8-902/L1304963,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36464,8-902/L1364837,Other offense,Other public order offense,Public order offense
36465,8-902/L1364875,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36466,8-902/L1364987,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36467,8-902/L1415871,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36468,8-902/L1416031,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36469,8-902/L1416034,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36470,8-902/L1416064,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36471,8-902/L1416071,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36472,8-902/L1416188,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36473,8-902/L1416190,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36474,8-902/L1416201,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36475,8-902/L1416390,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36476,8-902/L1416402,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36477,8-902/L1416429,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36478,8-902/L1416522,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36479,8-902/L1416643,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36480,8-902/L1416652,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36481,8-902/L1416682,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36482,8-902/L1416685,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36483,8.04.050/L1071038,Truancy/curfew,Other public order offense,Public order offense
36484,8.04.050/L1301726,Truancy/curfew,Other public order offense,Public order offense
36485,8.04.160/L1301222,Other offense,Other public order offense,Public order offense
36486,8.10,Other offense,Other public order offense,Public order offense
36487,8.12.060A,Consuming alcohol in public,Other public order offense,Public order offense
36488,8.18.010/L1301726,Unlawful use of a weapon (not firearm),Unlawful use of a weapon (firearm),Weapon offense
36489,8.54.020,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36490,8.54.020/L1071033,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36491,8.54.020/L1071034,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36492,8.54.020/L1071038,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36493,8.54.020/L1071039,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36494,8.54.020/L1071236,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36495,8.54.020/L1217876,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36496,8.54.020/L1298950,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36497,8.54.020/L1300991,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36498,8.54.020/L1301224,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36499,8.54.020/L1301581,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36500,8.54.020/L1301582,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36501,8.54.020/L1301941,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36502,8.54.20/L1074973,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36503,8/4 720-5/24-1.6,Aggravated unlawful use of a weapon,Aggravated unlawful use of a weapon,Weapon offense
36504,8/4 720/5 24-1.6(A)(1)/3,Aggravated unlawful use of a weapon,Aggravated unlawful use of a weapon,Weapon offense
36505,8/4 720/570 402 (C),Attempt possession of a controlled substance,Possession of cannabis/controlled substance,Drug offense
36506,8/4 720/570 402(C),Attempt possession of a controlled substance,Possession of cannabis/controlled substance,Drug offense
36507,8/5-4(5/19-1A),Attempt burglary,Burglary,Propert offense
36508,8+4+030-A,Consuming alcohol in public,Other public order offense,Public order offense
36509,8=8=080,Public indecency,Other sex offense,Person offense
36510,8=802 /L1416388,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
36511,810-5/3-117.1-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36512,810-5/9-315.01-2,Other offense,Other public order offense,Public order offense
36513,810-5/9-315.01(2),Other offense,Other public order offense,Public order offense
36514,815 5/12 1,Securities fraud,Other fraud offenses,Propert offense
36515,815 5/12 J 1,Securities fraud,Other fraud offenses,Propert offense
36516,815 5/12 J 2,Securities fraud,Other fraud offenses,Propert offense
36517,815 5/12 J 3,Securities fraud,Other fraud offenses,Propert offense
36518,815 5/3/3A1,Home repair fraud,Other fraud offenses,Propert offense
36519,815 515/,Home repair fraud,Other fraud offenses,Propert offense
36520,815 515/3-A-1,Home repair fraud,Other fraud offenses,Propert offense
36521,815 515/3-C-1,Home repair fraud,Other fraud offenses,Propert offense
36522,815 515/3(A)(1),Home repair fraud,Other fraud offenses,Propert offense
36523,815 515/3(A)(2),Home repair fraud,Other fraud offenses,Propert offense
36524,815 515/3A1,Home repair fraud,Other fraud offenses,Propert offense
36525,815 515/5A,Home repair fraud,Other fraud offenses,Propert offense
36526,815 ILCS 325.0/4.1-A-4,Other offense,Other public order offense,Public order offense
36527,815 ILCS 325/4.1(A)(4),Other offense,Other public order offense,Public order offense
36528,815 ILCS 414.0/1-A,Other offense,Other public order offense,Public order offense
36529,815 ILCS 5/12(I),Securities fraud,Other fraud offenses,Propert offense
36530,815 ILCS 5/12(J),Securities fraud,Other fraud offenses,Propert offense
36531,815 ILCS 515.0/3-A-1,Home repair fraud,Other fraud offenses,Propert offense
36532,815 ILCS 515.0/3-A-2,Home repair fraud,Other fraud offenses,Propert offense
36533,815 ILCS 515.0/5-A,Home repair fraud,Other fraud offenses,Propert offense
36534,815 ILCS 515.0/5-B,Home repair fraud,Other fraud offenses,Propert offense
36535,815 ILCS 515/3(A)(1),Home repair fraud,Other fraud offenses,Propert offense
36536,815 ILCS 515/3(A)(2),Deceptive practices,Other fraud offenses,Propert offense
36537,815 ILCS 515/5 (A) (1),Home repair fraud,Other fraud offenses,Propert offense
36538,815 ILCS 515/5(A),Home repair fraud,Other fraud offenses,Propert offense
36539,815 ILCS 515/5(B),Home repair fraud,Other fraud offenses,Propert offense
36540,815 ILCS 515/5(D),Home repair fraud,Other fraud offenses,Propert offense
36541,815 ILCS 602/5-50,Violation of bail bond,Other public order offense,Public order offense
36542,815-414/1-A,Other offense,Other public order offense,Public order offense
36543,815-414/1.5-A,Other offense,Other public order offense,Public order offense
36544,815-414/1.5A,Other offense,Other public order offense,Public order offense
36545,815-5/12(F),Securities fraud,Other fraud offenses,Propert offense
36546,815-5/12(I),Securities fraud,Other fraud offenses,Propert offense
36547,815-5/12(J),Securities fraud,Other fraud offenses,Propert offense
36548,815-5/17-3-A-1,Forgery,Forgery/bad checks,Propert offense
36549,815-5/19-4-A-1,Criminal trespass to a residence,Criminal trespass to a residence/property,Propert offense
36550,815-5/19-4-A-2,Criminal trespass to a residence,Criminal trespass to a residence/property,Propert offense
36551,815-5/21-1.3-A,Criminal damage to property,Criminal damage to property/institutional vandalism,Propert offense
36552,815-505/2Q,Home repair fraud,Other fraud offenses,Propert offense
36553,815-515-3(A)(1),Home repair fraud,Other fraud offenses,Propert offense
36554,815-515.0/3-A-1,Home repair fraud,Other fraud offenses,Propert offense
36555,815-515.0/3-A-2,Home repair fraud,Other fraud offenses,Propert offense
36556,815-515/3,Home repair fraud,Other fraud offenses,Propert offense
36557,815-515/3 A 1,Home repair fraud,Other fraud offenses,Propert offense
36558,815-515/3-A,Home repair fraud,Other fraud offenses,Propert offense
36559,815-515/3-A-1,Home repair fraud,Other fraud offenses,Propert offense
36560,815-515/3-A-2,Home repair fraud,Other fraud offenses,Propert offense
36561,815-515/3-A-3,Other offense,Other public order offense,Public order offense
36562,815-515/3-C-1,Home repair fraud,Other fraud offenses,Propert offense
36563,815-515/3(A)(1),Home repair fraud,Other fraud offenses,Propert offense
36564,815-515/3(A)(2),Deceptive practices,Other fraud offenses,Propert offense
36565,815-515/3(A)(3),Other offense,Other public order offense,Public order offense
36566,815-515/3(A)(4),Other offense,Other public order offense,Public order offense
36567,815-515/3A1,Home repair fraud,Other fraud offenses,Propert offense
36568,815-515/5,Home repair fraud,Other fraud offenses,Propert offense
36569,815-515/5-A,Home repair fraud,Other fraud offenses,Propert offense
36570,815-515/5-A-2,Home repair fraud,Other fraud offenses,Propert offense
36571,815-515/5-B,Home repair fraud,Other fraud offenses,Propert offense
36572,815-515/5-C,Home repair fraud,Other fraud offenses,Propert offense
36573,815-515/5-C-I,Home repair fraud,Other fraud offenses,Propert offense
36574,815-515/5-D,Home repair fraud,Other fraud offenses,Propert offense
36575,815-515/5-I,Home repair fraud,Other fraud offenses,Propert offense
36576,815-515/5-I-A,Home repair fraud,Other fraud offenses,Propert offense
36577,815-515/5(A(1),Home repair fraud,Other fraud offenses,Propert offense
36578,815-515/5(A),Home repair fraud,Other fraud offenses,Propert offense
36579,815-515/5(A)(2),Criminal damage to property,Criminal damage to property/institutional vandalism,Propert offense
36580,815-515/5(B),Home repair fraud,Other fraud offenses,Propert offense
36581,815-515/5(C),Home repair fraud,Other fraud offenses,Propert offense
36582,815-515/5(D),Home repair fraud,Other fraud offenses,Propert offense
36583,815-515/5I,Home repair fraud,Other fraud offenses,Propert offense
36584,815-551/3(A)(1),Home repair fraud,Other fraud offenses,Propert offense
36585,815/515-5-B,Home repair fraud,Other fraud offenses,Propert offense
36586,815/515/3/C/6,Home repair fraud,Other fraud offenses,Propert offense
36587,815/515/5I,Home repair fraud,Other fraud offenses,Propert offense
36588,815515/5(A)(1),Home repair fraud,Other fraud offenses,Propert offense
36589,815ILCS515/3(C)(1),Home repair fraud,Other fraud offenses,Propert offense
36590,820-115/14(A-5)(2),Other offense,Other public order offense,Public order offense
36591,820-305/25.5(A)(2),Public aid fraud,Other fraud offenses,Propert offense
36592,820-305/25.5(A)(7),Public aid fraud,Other fraud offenses,Propert offense
36593,820-405/2800-A-,Other offense,Other public order offense,Public order offense
36594,820-405/2800B,Fraud,Bribery/fraud/official misconduct/money laundering/racketeering,Public order offense
36595,820-635/1,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
36596,8205/31-1,Resisting or obstructing a peace officer,Obstructing justice/resisting or obstructing peace officer,Public order offense
36597,825-5/11-501(A),DUI,DUI,DUI/vehicle offense
36598,825-5/3-707,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36599,830-5/12-3-2-A-2,Domestic battery,Domestic battery/aggravated domestic battery,Person offense
36600,830-5/24-5-B,Defacing identification marks of firearms,Other weapons offense,Weapon offense
36601,830-5/31-4.5,Obstructing identification,Obstructing justice/resisting or obstructing peace officer,Public order offense
36602,84030-A,Consuming alcohol in public,Other public order offense,Public order offense
36603,8540-130,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36604,86-10,Other offense,Other public order offense,Public order offense
36605,87-26-030-B,Other offense,Other public order offense,Public order offense
36606,89-8-020(C)(1),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36607,890466,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36608,9,Warrant,Warrant,FTA/Warrant
36609,9 12 050 B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36610,9 12 050(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36611,9 12-050 (B)        TH481881,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36612,9 16 010B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36613,9 16 040A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36614,9 18 1B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36615,9 24 010 B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36616,9 40 070,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36617,9 40 130,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36618,9 40 140,Other offense,Other public order offense,Public order offense
36619,9 40 170,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36620,9 40 190,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36621,9 40 200B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36622,9 40 250 B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36623,9 5-10-3,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36624,9 5-10(B),Other offense,Other public order offense,Public order offense
36625,9 52-020,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36626,9 56 030,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36627,9 56-020            TH481882,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36628,9 64 100 A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36629,9 64 100A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36630,9 720- 5/21-2-A,Criminal trespass to vehicles,Vehicular invasion/trespass to vehicle,Propert offense
36631,9 720-5/21-2-A,Criminal trespass to vehicles,Vehicular invasion/trespass to vehicle,Propert offense
36632,9 720-570/402-C,Possession of a controlled substance,Possession of cannabis/controlled substance,Drug offense
36633,9 720-570/402C,Possession of a controlled substance,Possession of cannabis/controlled substance,Drug offense
36634,9 76 050 (C),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36635,9 76 050 C,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36636,9 76 050 D,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36637,9 76 050B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36638,9 76 160 A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36639,9 76 160A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36640,9 76 180 A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36641,9 8 020 C 1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36642,9 8 020C 1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36643,9 80-220,Other offense,Other public order offense,Public order offense
36644,9--24-10,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36645,9--40-250-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
36646,9--5-3(A),Disorderly conduct,Disorderly conduct,Public order offense
